[21978.51056338028, 23306, ['brass', '5GeV', 'count:', 284, 'max:', 23306, 'ave:', 21978.51056338028, ', min:', 20653, ',', 'time:', 0.0, 6.0, ':', 6.0, ':', 18.510563380281383]]
[42844.0, 45083, ['brass', '10GeV', 'count:', 286, 'max:', 45083, 'ave:', 42844.0, ', min:', 40613, ',', 'time:', 0.0, 11.0, ':', 54.0, ':', 4.0]]
[85388.04182509506, 88625, ['brass', '20GeV', 'count:', 263, 'max:', 88625, 'ave:', 85388.04182509506, ', min:', 82185, ',', 'time:', 0.0, 23.0, ':', 43.0, ':', 8.04182509506063]]
[128049.63533834586, 132902, ['brass', '30GeV', 'count:', 266, 'max:', 132902, 'ave:', 128049.63533834586, ', min:', 123405, ',', 'time:', 1.0, 11.0, ':', 34.0, ':', 9.635338345862692]]
[213345.18359375, 219497, ['brass', '50GeV', 'count:', 256, 'max:', 219497, 'ave:', 213345.18359375, ', min:', 207443, ',', 'time:', 2.0, 11.0, ':', 15.0, ':', 45.18359375]]
[298121.6081632653, 305187, ['brass', '70GeV', 'count:', 245, 'max:', 305187, 'ave:', 298121.6081632653, ', min:', 291077, ',', 'time:', 3.0, 10.0, ':', 48.0, ':', 41.60816326527856]]

[53763, 61453, ['copper', '5GeV', 'count:', 393, 'max:', 61453, 'ave:', 53763, ', min:', 46087, ',', 'time:', 0, 14, ':', 56, ':', 3]]
[145961, 157744, ['copper', '10GeV', 'count:', 356, 'max:', 157744, 'ave:', 145961, ', min:', 134212, ',', 'time:', 1, 16, ':', 32, ':', 41]]
[66896, 72025, ['copper', '20GeV', 'count:', 388, 'max:', 72025, 'ave:', 66896, ', min:', 61857, ',', 'time:', 0, 18, ':', 34, ':', 56]]
[111558, 116680, ['copper', '30GeV', 'count:', 289, 'max:', 116680, 'ave:', 111558, ', min:', 106734, ',', 'time:', 1, 6, ':', 59, ':', 18]]
[184839, 194149, ['copper', '50GeV', 'count:', 294, 'max:', 194149, 'ave:', 184839, ', min:', 175782, ',', 'time:', 2, 3, ':', 20, ':', 39]]
